"OBÈINE";"2021H2 Starost - SKUPAJ"
"Ajdovšèina";19741
"Ankaran/Ancarano";3249
"Apaèe";3556
"Beltinci";8110
"Benedikt";2661
"Bistrica ob Sotli";1370
"Bled";8239
"Bloke";1590
"Bohinj";5771
"Borovnica";4636
"Bovec";3204
"Braslovèe";5669
"Brda";5641
"Brezovica";12818
"Brežice";24346
"Cankova";1759
"Celje";48847
"Cerklje na Gorenjskem";7875
"Cerknica";11681
"Cerkno";4542
"Cerkvenjak";2135
"Cirkulane";2377
"Èrenšovci";3984
"Èrna na Koroškem";3219
"Èrnomelj";14337
"Destrnik";2650
"Divaèa";4324
"Dobje";948
"Dobrepolje";3883
"Dobrna";2266
"Dobrova - Polhov Gradec";7818
"Dobrovnik/Dobronak";1287
"Dol pri Ljubljani";6333
"Dolenjske Toplice";3570
"Domžale";36792
"Dornava";2862
"Dravograd";8849
"Duplek";7017
"Gorenja vas - Poljane";7666
"Gorišnica";4195
"Gorje";2800
"Gornja Radgona";8466
"Gornji Grad";2495
"Gornji Petrovci";2007
"Grad";2077
"Grosuplje";21279
"Hajdina";3902
"Hoèe - Slivnica";11755
"Hodoš/Hodos";361
"Horjul";2997
"Hrastnik";8980
"Hrpelje - Kozina";4874
"Idrija";11723
"Ig";7707
"Ilirska Bistrica";13354
"Ivanèna Gorica";17587
"Izola/Isola";16717
"Jesenice";21653
"Jezersko";676
"Juršinci";2456
"Kamnik";29953
"Kanal";5228
"Kidrièevo";6554
"Kobarid";4061
"Kobilje";538
"Koèevje";15620
"Komen";3631
"Komenda";6469
"Koper/Capodistria";53440
"Kostanjevica na Krki";2443
"Kostel";688
"Kozje";3039
"Kranj";56784
"Kranjska Gora";7970
"Križevci";3536
"Krško";25775
"Kungota";4873
"Kuzma";1661
"Laško";13059
"Lenart";8518
"Lendava/Lendva";10404
"Litija";15692
"Ljubljana";293822
"Ljubno";2561
"Ljutomer";11214
"Log - Dragomer";3647
"Logatec";14694
"Loška dolina";3711
"Loški Potok";1796
"Lovrenc na Pohorju";2967
"Luèe";1469
"Lukovica";5949
"Majšperk";4046
"Makole";2024
"Maribor";112838
"Markovci";4026
"Medvode";16785
"Mengeš";8481
"Metlika";8446
"Mežica";3579
"Miklavž na Dravskem polju";7013
"Miren - Kostanjevica";5057
"Mirna";2671
"Mirna Peè";3064
"Mislinja";4553
"Mokronog - Trebelno";3146
"Moravèe";5489
"Moravske Toplice";5981
"Mozirje";4267
"Murska Sobota";18547
"Muta";3407
"Naklo";5392
"Nazarje";2641
"Nova Gorica";31835
"Novo mesto";37339
"Odranci";1613
"Oplotnica";4125
"Ormož";11913
"Osilnica";325
"Pesnica";7508
"Piran/Pirano";18441
"Pivka";6222
"Podèetrtek";3629
"Podlehnik";1851
"Podvelka";2342
"Poljèane";4486
"Polzela";6374
"Postojna";16699
"Prebold";5245
"Preddvor";3800
"Prevalje";6791
"Ptuj";23531
"Puconci";5892
"Raèe - Fram";7711
"Radeèe";4147
"Radenci";5084
"Radlje ob Dravi";6168
"Radovljica";19342
"Ravne na Koroškem";11276
"Razkrižje";1249
"Reèica ob Savinji";2347
"Renèe - Vogrsko";4372
"Ribnica";9634
"Ribnica na Pohorju";1147
"Rogaška Slatina";11396
"Rogašovci";3123
"Rogatec";3084
"Ruše";7063
"Selnica ob Dravi";4534
"Semiè";3877
"Sevnica";17651
"Sežana";13818
"Slovenj Gradec";16671
"Slovenska Bistrica";25969
"Slovenske Konjice";15241
"Sodražica";2232
"Solèava";526
"Središèe ob Dravi";1924
"Starše";4056
"Straža";3880
"Sveta Ana";2336
"Sveta Trojica v Slov. goricah";2215
"Sveti Andraž v Slov. goricah";1193
"Sveti Jurij ob Šèavnici";2850
"Sveti Jurij v Slov. goricah";2105
"Sveti Tomaž";2032
"Šalovci";1390
"Šempeter - Vrtojba";6219
"Šenèur";8818
"Šentilj";8352
"Šentjernej";7223
"Šentjur";19349
"Šentrupert";2943
"Škocjan";3413
"Škofja Loka";23535
"Škofljica";11620
"Šmarje pri Jelšah";10378
"Šmarješke Toplice";3513
"Šmartno ob Paki";3273
"Šmartno pri Litiji";5664
"Šoštanj";8782
"Štore";4451
"Tabor";1674
"Tišina";3949
"Tolmin";10969
"Trbovlje";15917
"Trebnje";13407
"Trnovska vas";1375
"Trzin";3899
"Tržiè";15031
"Turnišèe";3178
"Velenje";33558
"Velika Polana";1381
"Velike Lašèe";4522
"Veržej";1343
"Videm";5619
"Vipava";5764
"Vitanje";2267
"Vodice";4943
"Vojnik";9064
"Vransko";2675
"Vrhnika";17654
"Vuzenica";2634
"Zagorje ob Savi";16328
"Zavrè";1507
"Zreèe";6611
"Žalec";21492
"Železniki";6684
"Žetale";1303
"Žiri";4987
"Žirovnica";4478
"Žužemberk";4755
